Area,Perimeter,Circularity,Variance,Bending Energy,activity
906.5865117,110.5902527,0.931505485,310.0233379,3661322.028,spontaneous
662.3004038,95.56768191,0.911260992,233.5381369,2061590.135,spontaneous
606.257056,91.15075096,0.916951084,213.2442373,1751472.124,spontaneous
524.8707834,84.59769615,0.921605782,179.9850194,1313880.282,spontaneous
711.744786,100.0446663,0.893606416,255.5654651,2563782.923,spontaneous
630.2343899,93.62463855,0.903507274,231.3004892,2018186.555,spontaneous
544.734744,86.75292351,0.909550259,188.5013041,1380088.342,spontaneous
480.9972968,81.76018391,0.904208906,176.1549914,1154193.214,spontaneous
815.1568537,105.0560028,0.928131052,281.0390854,3037156.921,spontaneous
719.6779128,96.71888926,0.966775058,242.012334,2184921.005,spontaneous
647.735923,91.80170504,0.965842591,219.3212118,1824550.15,spontaneous
934.2440365,113.2498657,0.915366063,345.2938976,4443807.18,spontaneous
752.0446828,101.6249105,0.915067554,272.487757,2861340.427,spontaneous
702.3993481,97.2821813,0.932668618,240.8508471,2307332.335,spontaneous
642.7234986,91.73786447,0.959702863,221.473149,1858309.649,spontaneous
827.336932,106.395678,0.918426281,283.0604651,3053168.312,spontaneous
977.0924652,115.7902985,0.915801143,322.9273631,4108610.089,spontaneous
507.0432965,81.99631057,0.947689974,178.1875165,1198553.889,spontaneous
394.2843987,72.14621796,0.951902172,131.3524764,675829.0469,spontaneous
318.2066097,64.88903691,0.949678058,108.8979375,448946.5554,spontaneous
454.3359652,77.3543625,0.954151546,156.121273,940094.6212,spontaneous
359.7286384,68.57407485,0.961313328,117.6319386,556868.1501,spontaneous
329.884153,65.92793874,0.953745105,110.0185461,479539.1886,spontaneous
288.0690219,61.86202642,0.945928124,95.63895392,355221.725,spontaneous
736.5364748,99.21306405,0.940299918,256.5477603,2523651.333,spontaneous
481.4472021,81.53059169,0.910159157,168.5567485,1115279.569,spontaneous
493.0500778,81.76274548,0.926808405,174.5305791,1159848.68,spontaneous
1217.463315,130.4932958,0.898440556,453.6932394,7668071.236,spontaneous
552.7037423,86.64222407,0.925215895,193.6772995,1490746.206,spontaneous
499.2399194,82.00475748,0.932912842,174.3341995,1165302.685,spontaneous
392.5278037,72.45019136,0.939725938,134.1624993,689485.0042,spontaneous
570.5360471,86.60241968,0.955944987,197.3994473,1480653.273,spontaneous
752.9545002,100.136804,0.94360698,256.2458433,2596047.765,spontaneous
443.0032059,75.98025448,0.964306836,145.4573293,839647.6321,spontaneous
439.0423091,75.71985911,0.962269329,146.3124986,826699.3128,spontaneous
321.4511784,65.66386149,0.936854288,110.4508438,472899.0522,spontaneous
450.3614062,77.80050742,0.93498829,160.2123327,977724.4655,spontaneous
410.4700068,73.59343653,0.952386271,138.5399276,742988.0594,spontaneous
333.6819115,66.14066584,0.958529323,112.0138101,490014.1892,spontaneous
289.1064256,61.8826879,0.948700807,98.23258185,371826.0968,spontaneous
502.6219317,81.3275095,0.954940588,170.4047083,1124084.052,spontaneous
431.9266395,75.81843031,0.944213655,146.0629698,834123.6272,spontaneous
416.4876471,74.59604902,0.940546643,146.4880867,821770.5282,spontaneous
867.5937199,107.388882,0.945382637,297.5838632,3422017.04,spontaneous
535.9349739,84.63661302,0.940167885,178.8613465,1259627.372,spontaneous
422.04937,75.43163894,0.932107564,145.9110497,830969.0621,spontaneous
401.4124906,73.01794439,0.946109801,135.663394,729458.6935,spontaneous
534.3456575,83.21272804,0.969734012,178.6000199,1237651.159,spontaneous
1916.056169,159.7389698,0.943618272,669.5472775,17092112.28,spontaneous
1443.416967,139.1846787,0.936308159,483.7850148,9135558.484,spontaneous
1371.324749,135.8167721,0.934207542,451.327274,8287208.925,spontaneous
1615.147961,145.6678873,0.956521056,537.5850422,11366553.77,spontaneous
1470.945604,144.602622,0.884003818,529.2132211,10854060.5,spontaneous
1399.552172,137.466074,0.930696107,489.9354195,9172145.761,spontaneous
1240.521076,128.5514327,0.943322448,416.1712837,6828967.094,spontaneous
1250.255453,128.3748844,0.953341481,425.2537011,6964940.448,spontaneous
1631.521997,146.3739227,0.956919433,556.0477122,11888578.27,spontaneous
1743.521531,154.3737737,0.919369597,568.5795108,13543427.79,spontaneous
1751.533737,153.280808,0.936812785,578.108495,13203483.77,spontaneous
1741.301204,154.3594363,0.918369383,607.682222,14530626.97,spontaneous
1581.6972,143.9689214,0.958949436,511.6287723,10513618.17,spontaneous
1483.543861,140.1302842,0.949393489,483.1091313,9441053.819,spontaneous
1718.189899,153.6719973,0.914305966,609.0577663,14411116.72,spontaneous
1823.677935,155.7333493,0.944919388,618.7812198,14840495.45,spontaneous
1275.296269,131.2509138,0.930285564,452.6940481,7542581.736,spontaneous
936.9698404,111.1708851,0.952693823,315.8599889,3911107.191,spontaneous
833.2149283,105.6518037,0.93802211,286.5945423,3222265.553,spontaneous
838.8053619,106.3375793,0.932175152,291.5280469,3328190.92,spontaneous
877.5083656,107.5312357,0.953656244,304.0516654,3546020.849,spontaneous
798.9369919,103.0240629,0.945899614,269.6447524,2902025.603,spontaneous
783.3402762,103.3674785,0.921281767,274.3630174,2958863.869,spontaneous
762.9611328,100.9991497,0.939889598,268.3044905,2746018.86,spontaneous
1190.9456,125.4815851,0.950477403,407.629793,6329244.697,spontaneous
1115.421624,121.3001094,0.95263501,384.8567347,5378072.042,spontaneous
984.7392058,114.9795738,0.936029861,348.661843,4631260.855,spontaneous
1168.755732,123.9237316,0.956367156,393.5308357,6046082.764,spontaneous
130690.5237,1283.966426,0.996200205,41728.24091,68759834125.0,spontaneous
909.9134285,110.0830265,0.943559336,319.729327,3828624.163,spontaneous
996.8917251,116.8406596,0.917634758,345.7018003,4761498.587,spontaneous
959.8664692,113.1150488,0.9427139,325.0050151,4173529.133,spontaneous
5351.708815,269.7127292,0.924484113,1845.470345,125941185.8,spontaneous
963.6561813,118.4389076,0.863263123,328.8826028,4568409.018,spontaneous
1016.553763,122.6983414,0.848521464,367.4801784,5469506.516,spontaneous
972.0972238,119.3814054,0.857129006,337.1867516,4775972.015,spontaneous
1086.569958,126.6687271,0.850998402,380.1826193,6157314.469,spontaneous
1134.267184,130.9709564,0.830950654,435.7837227,7458751.186,spontaneous
1182.503422,132.0884887,0.85169153,439.7804644,7826421.25,spontaneous
1192.655968,133.6893845,0.838554323,456.413289,8133819.882,spontaneous
824.686315,105.5057201,0.930993481,283.0119646,3148626.17,spontaneous
914.2014824,111.4220807,0.925356876,317.6564587,3879791.561,spontaneous
846.2344851,108.9230931,0.896314975,293.1831621,3436468.494,spontaneous
807.2405597,105.9694907,0.9033398,290.2837902,3245770.627,spontaneous
894.6513478,108.7315501,0.950938707,309.2105302,3637294.5,spontaneous
842.3127931,109.7443018,0.878859196,308.0828455,3691044.064,spontaneous
866.0887466,109.1579841,0.913400503,302.3547461,3571285.36,spontaneous
1004.78996,121.0309227,0.861970618,338.4265041,4775092.747,spontaneous
7849.227556,323.9562329,0.939862027,2763.358235,300661384.4,spontaneous
788.6080121,103.4019121,0.926859509,281.2000645,3016977.51,spontaneous
802.7848715,102.7457903,0.955610625,272.0706,2941305.681,spontaneous
750.453014,99.77337796,0.947335949,252.1254558,2404328.792,spontaneous
17244.83663,489.2994337,0.905147846,6449.303556,1540004346.0,spontaneous
718.2642249,97.50460204,0.949388292,244.4848325,2299844.02,spontaneous
730.8935663,98.65680466,0.943647758,260.8869948,2451656.318,spontaneous
677.9082088,94.5127725,0.953673578,218.7114494,1991699.29,spontaneous
1008.349243,115.7275779,0.94612194,343.7100671,4567471.894,spontaneous
1236.8323,131.9829722,0.892246543,443.239582,7673420.173,spontaneous
967.3677195,116.3456509,0.898051304,332.4284031,4502463.008,spontaneous
2161.010493,169.6494652,0.943543114,741.9293541,20873510.89,spontaneous
839.8024829,104.8915226,0.959193526,288.2644005,3167729.24,spontaneous
813.2942178,103.1654127,0.96026104,267.8541125,2799292.393,spontaneous
840.9458322,105.3238754,0.952629937,273.0620647,3051650.755,spontaneous
11135.28668,385.6827023,0.940699567,3758.059975,562505739.8,spontaneous
1088.570234,123.8318969,0.892074793,405.4713659,6136680.316,spontaneous
940.217354,115.3401003,0.888131916,313.7590044,4142231.117,spontaneous
915.5388093,113.4980232,0.893120438,341.3333935,4357328.851,spontaneous
874.6495413,111.775845,0.879727187,304.0758431,3787815.814,spontaneous
798.3238372,105.7079148,0.897788316,270.6777188,3014488.89,spontaneous
803.6412897,107.0852886,0.880668542,257.7640237,2946107.297,spontaneous
778.7790286,104.7697903,0.891562848,269.9761594,2957400.532,spontaneous
1008.465734,118.222948,0.906707986,364.4087634,5052382.42,spontaneous
