Max Power/Frequency,Frequency with Max Power,energy,crest_factor,mean_frequency,median_frequency,peak_to_peak_amplitude,contraction_intensity,contraction_power,shannon_entropy,sample_entropy,Dispersion_entropy,log_detector
4.5698104597702057e-10,0.2347417840375587,8.187565097243432e-05,1.0651774054312972,0.15917432201707446,0.023474178403755867,4.9316106312655063e-05,110.32863849765258,5.459040817542145e-12,0,0.0011757790890120617,1.9063532199930031,0.00030930415190513294
7.646515587275319e-10,0.20790020790020788,7.09781193663629e-05,1.1219352586130231,0.12895190266867174,0.02079002079002079,8.735749494082697e-05,111.85031185031184,2.5279408465335927e-11,0,0.0010411245084105038,1.8703844555023181,0.00026933852670490635
6.503241227918265e-10,0.2063983488132095,6.604385787818732e-05,1.1028755232175715,0.1374910119742546,0.02063983488132095,7.1753459811663e-05,120.94943240454076,2.8444258268321884e-11,0,0.0010335918232826594,1.969863018107793,0.000259398429623529
3.995314970453902e-13,0.2691790040376851,3.964180074685829e-05,1.0070337174091726,0.1884916360647093,0.026917900403768506,1.569973141967015e-05,117.90040376850607,6.563654833121115e-14,0,0.0013486178712935292,2.001034866419361,0.00023097623826354112
8.014585338408561e-11,0.27624309392265195,2.8851921069778586e-05,1.064402503867887,0.113205513155817,0.027624309392265192,2.9123192161128547e-05,129.8342541436464,3.295527104314713e-12,0,0.0013840832659385636,1.8581964500930683,0.00019927853942282604
3.2790628936024435e-11,0.24968789013732834,3.269730414568064e-05,1.0535546801490245,0.13421495357334637,0.024968789013732832,3.1561765665367905e-05,124.34456928838952,3.0145363634903094e-12,0,0.0012507819016526025,2.114646625271734,0.00020194338889078728
3.2629600616349878e-09,0.22026431718061673,6.0636783961211615e-05,1.1678496905596172,0.10489644028549457,0.022026431718061675,0.00010082479819958473,100.88105726872247,2.3785636415592355e-11,0,0.0011031440721573171,1.7426427091282481,0.00025403508150639566
7.713835941483866e-12,0.29985007496251875,1.9617342350268813e-05,1.0371410813793485,0.1504963028639711,0.029985007496251874,1.122556386997674e-05,121.73913043478261,4.479347019899784e-13,0,0.0015026298845350185,1.7657317365992888,0.0001714400083828912
3.384264478335484e-11,0.4993757802746567,2.652624397733586e-05,1.0567911128059493,0.1324528827192799,0.024968789013732832,2.8926381865413477e-05,128.33957553058679,4.046311365639418e-12,0,0.0012507819016526025,2.071181300666803,0.0001818449444826961
4.743331205217538e-12,0.2680965147453083,2.2675728286763005e-05,1.02274004112715,0.21474232633904666,0.02680965147453083,1.3576488790418954e-05,124.93297587131369,9.135298158925948e-14,0,0.0013431835464676259,2.0958753772387104,0.00017432020032401548
4.959487678712641e-10,0.1953125,6.949321725812065e-05,1.13720518599102,0.10596758365247921,0.015278838808250574,6.406930006273799e-05,102.97937356760886,3.5556486709904493e-12,0,0.0007648183929220399,1.931953428723446,0.00022880090252058846
1.5091940139545213e-11,0.28328611898017,4.102139669566797e-05,1.0407072119119072,0.165987266914989,0.028328611898016998,2.7562366726467707e-05,109.91501416430596,1.832086321757213e-12,0,0.0014194466542263656,1.8226553963101733,0.00024093445093260942
4.175076107255599e-11,0.3125,3.423222143252289e-05,1.0567412068052398,0.12128972039346782,0.03125,2.129424791056319e-05,112.5,5.369441684257648e-12,0,0.0015661710327449462,2.114910948132056,0.00023115250877902367
